"";"count";"area";"type";"dist_paved";"dist_unpaved";"dist_rail";"dist_silos";"dist_fridge";"dist_prot";"dist_settlement";"pop_mean";"crop";"fl";"time"
"1";9;900;"a";914,794509457789;3229,62857648754;10411,8004067379;338868,812032652;19756,3855789825;74006,9819313369;6611,06764993403;0;"7";"3";"Dec18"
"2";5;500;"a";865,601240177502;3225,49596786798;10370,1355854109;338841,574337159;19799,7824885576;74016,5090004457;6597,08935579936;0;"7";"3";"Dec18"
"3";12;1200;"a";896,599217916859;3338,58234256598;10318,6767851795;338942,467169092;19733,9309136952;74124,6125557872;6492,48229333;0,864022006362647;"7";"3";"Dec18"
"4";12;1200;"a";416,45361694138;1730,25988184493;17753,0309103227;351473,439145562;8507,70748449021;81951,2914059887;8308,5749686649;0;"7";"0";"Dec18"
"5";4;400;"a";2287,22929395143;4243,25308003381;15647,0815120294;351303,029625545;11153,6702299897;83765,8175576258;9153,93951144027;0,55403627514911;"7";"0";"Dec18"
"6";3;300;"a";2311,4823350151;4197,66302429944;15691,163766111;351347,951022879;11120,725497918;83790,4980229554;9200,280188752;0,901522099971771;"7";"0";"Dec18"
"7";5;500;"a";7090,7184370997;2619,84183541761;38054,4951514029;375212,694452914;20428,6011836242;89550,0147050974;8668,03747361048;0;"7";"0";"Dec18"
"8";3;300;"a";7094,06177602733;2628,68657108864;38092,1076876491;375272,268624545;20509,0164144748;89465,2678923724;8733,70388007368;0;"4";"0";"Dec18"
"9";4;400;"a";7044,2124258334;2578,94799094883;38137,2634892082;375308,991505483;20529,2582304402;89451,8302613106;8700,36991513996;0;"4";"0";"Dec18"
"10";20;2000;"a";6990,54046587101;2542,9692591912;38213,2145526162;375396,507390666;20619,8622993036;89363,7714794363;8728,44682869876;0;"7";"0";"Dec18"
"11";74;7400;"a";7078,82881198168;2632,68322988577;38136,2459516146;375336,622896649;20591,4299550715;89379,6698316252;8793,75498674305;0;"0";"0";"Dec18"
"12";18;1800;"a";893,167437986346;3235,61274666023;10387,8979783949;338862,819579119;19772,6904899965;74019,320696724;6596,77639164448;0;"7";"3";"Jan19"
"13";24;2400;"a";216,682621898607;2261,23164036456;16489,8614365496;350485,438321887;9739,55474937288;81713,519817213;9533,99784708461;0,00576703861537316;"7";"0";"Jan19"
"14";13;1300;"a";414,81472785466;1726,04286805648;17758,2156084502;351475,766493582;8502,27793412334;81949,8559769052;8303,12337689006;0;"7";"0";"Jan19"
"15";35;3500;"a";7081,66878385828;2634,84600221572;38132,6985576516;375332,823854088;20587,8324517177;89383,0546083621;8793,38201805261;0;"0";"0";"Jan19"
"16";12;1200;"a";6983,09519987769;2538,22725694848;38223,7988328737;375408,723223397;20632,5395501993;89351,4405523168;8732,51066642331;0;"7";"0";"Jan19"
"17";3;300;"a";2821,62920466865;2823,33840585692;9108,25379556071;330909,178173322;29590,8563657256;68779,9824235343;12326,9777703236;0,4346624314785;"1";"3";"Oct19"
"18";31;3100;"a";865,358616351852;3313,77501866026;10307,8496263377;338908,158941471;19769,3383618527;74107,4775368145;6506,63551116203;0,930064754878015;"7";"3";"Oct19"
"19";10;1000;"a";5327,01798568164;5330,2046373433;7706,73413643131;330053,400290513;32109,4368001162;66889,7727304063;13834,8630524422;0;"1";"3";"Oct19"
"20";5;500;"a";5292,62241425127;5295,73468553592;7600,97999521408;330262,616333317;31887,3769555778;67116,6780800456;13607,9438208877;0;"7";"3";"Oct19"
"21";4;400;"a";423,40740164349;1735,31229802374;17754,9526779449;351479,624390398;8506,92597619856;81958,2985920687;8307,94796686243;0;"7";"0";"Oct19"
"22";7;700;"a";2303,07352925413;4214,59793876126;15674,7199327988;351331,59306678;11133,2765699052;83781,926248535;9183,11317321008;0,901522099971771;"7";"0";"Oct19"
"23";8;800;"a";56,1731170804869;74,3528052222325;6112,48770814358;343600,946085198;27164,8998044728;78577,2950003556;9688,80296096707;0;"7";"3";"Oct19"
"24";7;700;"a";98,2346548763132;152,178635286891;7572,73797831421;344370,658831964;28103,0610936524;79036,2632664393;11146,7669675989;0;"7";"3";"Oct19"
"25";3;300;"a";7396,26531496664;2673,07416150902;37714,6239940757;374902,895766594;20204,3307934729;89736,6195976414;8818,71420112628;0;"0";"0";"Oct19"
"26";14;1400;"a";7091,36705424958;2618,33536112653;38067,9706318625;375231,535135775;20451,9006407817;89526,0264956599;8683,39198607505;0;"7";"0";"Oct19"
"27";10;1000;"a";7103,30770012927;2636,60626172954;38081,4882761654;375261,516592914;20499,6178975922;89473,8077958652;8734,71295742581;0;"4";"0";"Oct19"
"28";25;2500;"a";7097,77061163448;2654,80242172095;38123,9586676677;375331,136123891;20595,9460638828;89371,808735086;8817,56534486387;0;"0";"0";"Oct19"
"29";11;1100;"a";890,973892220687;3233,91315940031;10387,109173472;338860,457017135;19775,1571836823;74018,1807338873;6597,70713493396;0;"7";"3";"Feb19"
